subject	channel
01-01-0016.edf	C3-A2
01-01-0017.edf	C3-A2
01-01-0018.edf	C3-A2
01-01-0019.edf	C3-A2
01-01-0020.edf	C3-A2
01-01-0021.edf	C3-A2
01-01-0022.edf	C3-A2
01-01-0023.edf	C3-A2
01-01-0024.edf	C3-A2
01-01-0025.edf	C3-A2
01-01-0026.edf	C3-A2
01-01-0027.edf	C3-A2
01-01-0028.edf	C3-A2
01-01-0029.edf	C3-A2
01-01-0030.edf	C3-A2
01-01-0031.edf	C3-A2
01-01-0032.edf	C3-A2
01-01-0033.edf	C3-A2
01-01-0035.edf	C3-A2
01-01-0036.edf	C3-A2
01-01-0037.edf	C3-A2
01-01-0038.edf	C3-A2
01-01-0040.edf	C3-A2
01-01-0041.edf	C3-A2
01-01-0042.edf	C3-A2
01-01-0043.edf	C3-A2
01-01-0044.edf	C3-A2
01-01-0046.edf	C3-A2
01-01-0047.edf	C3-A2
01-01-0048.edf	C3-A2
01-01-0049.edf	C3-A2
01-01-0050.edf	C3-A2
01-01-0051.edf	C3-A2
01-01-0052.edf	C3-LE
01-01-0053.edf	C3-A2
01-03-0001.edf	C3-LE
01-03-0002.edf	C3-LE
01-03-0006.edf	C3-LE
01-03-0009.edf	C3-LE
01-03-0012.edf	C3-LE
01-03-0013.edf	C3-LE
01-03-0014.edf	C3-LE
01-03-0016.edf	C3-LE
01-03-0017.edf	C3-LE
01-03-0018.edf	C3-LE
01-03-0019.edf	C3-LE
01-03-0024.edf	C3-LE
01-03-0026.edf	C3-LE
01-03-0027.edf	C3-LE
01-03-0028.edf	C3-LE
01-03-0029.edf	C3-LE
01-03-0030.edf	C3-LE
01-03-0031.edf	C3-LE
01-03-0032.edf	C3-LE
01-03-0036.edf	C3-LE
01-03-0037.edf	C3-LE
01-03-0038.edf	C3-LE
01-03-0039.edf	C3-LE
01-03-0051.edf	C3-LE
01-03-0053.edf	C3-LE
01-03-0056.edf	C3-LE
01-03-0058.edf	C3-LE
01-03-0060.edf	C3-LE
01-03-0061.edf	C3-LE
01-03-0062.edf	C3-LE
01-03-0063.edf	C3-LE
01-03-0064.edf	C3-LE
