epochNum	subjectID	blockNumSrc	blockNumExp	epochStartSec
1021	01-03-0021	24	1	5260
1026	01-03-0021	65	2	6320
1031	01-03-0021	105	3	6720
1036	01-03-0022	47	1	6125.25
1041	01-03-0022	141	2	11840
1046	01-03-0022	216	3	14700
1051	01-03-0023	58	1	1890
1056	01-03-0023	82	2	3320
1061	01-03-0023	299	3	9000
1066	01-03-0025	40	1	1700
1071	01-03-0025	115	2	5590
1076	01-03-0025	138	3	5820
1081	01-03-0033	31	1	4510
1086	01-03-0033	162	2	9250
1091	01-03-0033	201	3	10839
1096	01-03-0034	6	1	1190
1101	01-03-0034	192	2	15170
1106	01-03-0034	207	3	17260
1111	01-03-0035	13	1	5212
1116	01-03-0035	31	2	5392
1121	01-03-0035	46	3	9900
1126	01-03-0040	22	1	5280
1131	01-03-0040	48	2	8860
1136	01-03-0040	62	3	9472
1141	01-03-0041	108	1	8918
1146	01-03-0041	127	2	9627
1151	01-03-0041	244	3	13860
1156	01-03-0042	56	1	11124
1161	01-03-0042	74	2	11411
1166	01-03-0042	92	3	12728
1171	01-03-0044	139	1	5330
1176	01-03-0044	157	2	5710
1181	01-03-0044	276	3	9110
1186	01-03-0045	8	1	3790
1191	01-03-0045	41	2	6050
1196	01-03-0045	167	3	10680
1201	01-03-0046	36	1	1340
1206	01-03-0046	173	2	6740.21
1211	01-03-0046	298	3	11270
1216	01-03-0047	179	1	12488
1221	01-03-0047	253	2	14840.35
1226	01-03-0047	268	3	14990.35
1231	01-03-0048	7	1	2940
1236	01-03-0048	19	2	5910
1241	01-03-0048	41	3	6130
1246	01-03-0050	143	1	10540
1251	01-03-0050	204	2	11150
1256	01-03-0050	253	3	11640
1261	01-03-0052	111	1	11005
1266	01-03-0052	164	2	12780
1271	01-03-0052	177	3	12910
1276	01-03-0054	76	1	6070
1281	01-03-0054	143	2	8260
1286	01-03-0054	304	3	12300
1291	01-03-0057	229	1	11320
1296	01-03-0057	282	2	13840
1301	01-03-0057	432	3	15634
1306	01-03-0059	143	1	11960
1311	01-03-0059	173	2	12260
1316	01-03-0059	200	3	12530
1321	01-04-0002	42	1	5820
1326	01-04-0002	67	2	6183
1331	01-04-0002	104	3	7327
1336	01-04-0003	5	1	1260
1341	01-04-0003	94	2	11160
1346	01-04-0003	172	3	12300
1351	01-04-0005	45	1	4776
1356	01-04-0005	182	2	11150
1361	01-04-0005	259	3	13010
1366	01-04-0006	8	1	2150
1371	01-04-0006	65	2	6600
1376	01-04-0006	81	3	6760
1381	01-04-0007	11	1	1500
1386	01-04-0007	31	2	1807
1391	01-04-0007	193	3	11154
1396	01-04-0008	8	1	2310
1401	01-04-0008	54	2	2770
1406	01-04-0008	92	3	4680
1411	01-04-0009	50	1	4130
1416	01-04-0009	250	2	13466
1421	01-04-0009	292	3	14870
1426	01-04-0011	69	1	2760
1431	01-04-0011	124	2	5240
1436	01-04-0011	156	3	6810
1441	01-04-0012	17	1	1220
1446	01-04-0012	105	2	5998
1451	01-04-0012	203	3	10600
1456	01-04-0013	34	1	5000
1461	01-04-0013	54	2	5200
1466	01-04-0013	119	3	8026
1471	01-04-0014	6	1	7490
1476	01-04-0014	95	2	12390
1481	01-04-0014	118	3	12620
1486	01-04-0015	23	1	4930
1491	01-04-0015	38	2	6777
1496	01-04-0015	91	3	10240
1501	01-04-0016	171	1	5170
1506	01-04-0016	375	2	11280
1511	01-04-0016	402	3	13620
1516	01-04-0017	3	1	1960
1521	01-04-0017	68	2	6306
1526	01-04-0017	155	3	12510
1531	01-04-0018	36	1	4264
1536	01-04-0018	58	2	5240
1541	01-04-0018	152	3	10820
1546	01-04-0019	27	1	1520
1551	01-04-0019	50	2	3346
1556	01-04-0019	73	3	8106
1561	01-04-0020	17	1	2760
1566	01-04-0020	312	2	13810
1571	01-04-0020	344	3	14130
1576	01-04-0021	59	1	2970
1581	01-04-0021	99	2	3780
1586	01-04-0021	175	3	11530
1591	01-04-0022	15	1	3300
1596	01-04-0022	32	2	7340
1601	01-04-0022	56	3	8720
1606	01-04-0023	81	1	7030
1611	01-04-0023	194	2	11960
1616	01-04-0023	278	3	13584
1621	01-04-0025	58	1	7060
1626	01-04-0025	86	2	7464
1631	01-04-0025	103	3	7800
1636	01-04-0026	71	1	7040
1641	01-04-0026	102	2	7462
1646	01-04-0026	396	3	12850
1651	01-04-0028	4	1	2530
1656	01-04-0028	20	2	2880
1661	01-04-0028	113	3	12880
1666	01-04-0029	257	1	10294
1671	01-04-0029	297	2	11330
1676	01-04-0029	405	3	12980
1681	01-04-0030	19	1	4960
1686	01-04-0030	49	2	7698
1691	01-04-0030	58	3	9550
1696	01-04-0031	16	1	2130
1701	01-04-0031	29	2	4180
1706	01-04-0031	156	3	11900
1711	01-04-0033	47	1	4600
1716	01-04-0033	187	2	8590
1721	01-04-0033	211	3	9330
1726	01-04-0034	20	1	2530
1731	01-04-0034	87	2	6230
1736	01-04-0034	119	3	6550
1741	01-04-0035	62	1	6370
1746	01-04-0035	120	2	7370
1751	01-04-0035	175	3	8760
1756	01-04-0036	120	1	4322
1761	01-04-0036	155	2	4672
1766	01-04-0036	311	3	8760.03
1771	01-04-0037	25	1	2834
1776	01-04-0037	79	2	11730
1781	01-04-0037	90	3	12058
1786	01-04-0038	86	1	7530
1791	01-04-0038	153	2	8200
1796	01-04-0038	210	3	10660
1801	01-04-0040	54	1	3020
1806	01-04-0040	417	2	10840
1811	01-04-0040	449	3	11160
1816	01-02-0001	94	1	5234
1821	01-02-0001	223	2	11670
1826	01-02-0001	313	3	12740
1831	01-02-0002	20	1	940
1836	01-02-0002	275	2	8110
1841	01-02-0002	379	3	9280
1846	01-02-0003	25	1	2630
1851	01-02-0003	43	2	2810
1856	01-02-0003	81	3	6330
1861	01-02-0004	38	1	630
1866	01-02-0004	189	2	7870
1871	01-02-0004	247	3	9600
1876	01-02-0005	147	1	7140
1881	01-02-0005	172	2	7390
1886	01-02-0005	187	3	7540
1891	01-02-0006	9	1	1216
1896	01-02-0006	37	2	4498
1901	01-02-0006	107	3	7560
1906	01-02-0010	170	1	11368
1911	01-02-0010	209	2	11758
1916	01-02-0010	248	3	13020
1921	01-02-0011	40	1	1350
1926	01-02-0011	87	2	5380
1931	01-02-0011	223	3	10090
1936	01-02-0012	28	1	10584.31
1941	01-02-0012	59	2	11060
1946	01-02-0012	79	3	11450
1951	01-02-0013	50	1	2810
1961	01-02-0013	158	3	7842
1966	01-02-0014	65	1	7400
1971	01-02-0014	108	2	8144
1976	01-02-0014	138	3	10200
1981	01-02-0015	33	1	1660
1986	01-02-0015	45	2	1780
1991	01-02-0015	88	3	6690
1996	01-02-0017	273	1	9066
2001	01-02-0017	410	2	13790
2006	01-02-0017	425	3	13940
2011	01-02-0019	130	1	5270
2016	01-02-0019	163	2	6915
2021	01-02-0019	371	3	11404
