epochNum	subjectID	blockNumSrc	blockNumExp	epochStartSec	
2811	01-01-0025	222	2	9120	
2816	01-01-0025	528	3	23510	
2821	01-01-0026	99	1	5800	
2826	01-01-0026	351	2	14870	
2831	01-01-0026	697	3	22832	
2836	01-01-0027	54	1	6500	
2841	01-01-0027	145	2	10160	
2846	01-01-0027	253	3	15840	
2851	01-01-0028	79	1	4490	
2856	01-01-0028	546	2	18120	
2861	01-01-0028	560	3	18260	
2866	01-01-0029	23	1	7950	
2871	01-01-0029	96	2	17020	
2876	01-01-0029	235	3	24130	
2881	01-01-0030	5	1	2710	
2886	01-01-0030	117	2	10650	
2891	01-01-0030	276	3	16060	
2896	01-01-0031	42	1	2190	
2901	01-01-0031	176	2	7900	
2906	01-01-0031	636	3	17290	
2911	01-01-0032	40	1	5840	
2916	01-01-0032	217	2	22650	
2921	01-01-0032	257	3	23250	
2926	01-01-0033	106	1	12496	
2931	01-01-0033	203	2	19054	
2936	01-01-0033	286	3	20580	
2941	01-01-0035	159	1	7860	
2946	01-01-0035	173	2	8000	
2951	01-01-0035	634	3	21440	
2956	01-01-0036	333	1	9340	
2961	01-01-0036	570	2	19926	
2966	01-01-0036	827	3	26430	
2971	01-01-0037	19	1	6270	
2976	01-01-0037	23	2	10050	
2981	01-01-0037	35	3	10170	
2986	01-01-0038	83	1	3891	
2991	01-01-0038	780	2	22610	
2996	01-01-0038	951	3	24320	
3001	01-01-0040	289	1	16720	
3006	01-01-0040	309	2	16920	
3011	01-01-0040	328	3	17310	
3016	01-01-0041	49	1	2640	
3021	01-01-0041	270	2	13810	
3026	01-01-0041	276	3	14070	
3031	01-01-0042	125	1	8040	
3036	01-01-0042	172	2	20390	
3041	01-01-0042	196	3	20630	
3046	01-01-0043	356	1	13370	
3051	01-01-0043	499	2	18220	
3056	01-01-0043	766	3	27250	
3061	01-01-0044	217	1	17390	
3066	01-01-0044	530	2	28470	
3071	01-01-0044	582	3	30950	
3076	01-01-0046	274	1	8050	
3081	01-01-0046	556	2	14660	
3086	01-01-0046	585	3	15150	
3091	01-01-0047	196	1	9630	
3096	01-01-0047	311	2	19380	
3101	01-01-0047	357	3	21110	
3106	01-01-0048	98	1	13700	
3111	01-01-0048	126	2	13980	
3116	01-01-0048	464	3	24700	
3121	01-01-0049	36	1	14770	
3126	01-01-0049	53	2	14940	
3131	01-01-0049	79	3	15200	
3136	01-01-0050	5	1	12200	
3141	01-01-0050	94	2	21990	
3146	01-01-0050	143	3	25750	
3151	01-01-0051	114	1	4140	
3156	01-01-0051	167	2	7960	
3161	01-01-0051	356	3	18080	
3166	01-01-0053	114	1	12310	
3171	01-01-0053	275	2	14120	
3176	01-01-0053	580	3	30370	
3181	01-01-0002	50	1	2970	
3186	01-01-0002	203	2	10000	
3191	01-01-0002	473	3	22230	
3196	01-01-0003	140	1	15180	
3201	01-01-0003	230	2	20170	
3206	01-01-0003	337	3	23110	
3211	01-01-0004	170	1	5040	
3216	01-01-0004	394	2	12200	
3221	01-01-0004	467	3	14440	
3226	01-01-0005	54	1	3130	
3231	01-01-0005	105	2	4634	
3236	01-01-0005	161	3	5194	
3241	01-01-0006	131	1	15100	
3246	01-01-0006	192	2	19060	
3251	01-01-0006	212	3	19460	
3256	01-01-0052	87	1	11800	
3261	01-01-0052	129	2	15740	
3266	01-01-0052	161	3	19800	
3271	01-03-0001	82	1	5270	
3276	01-03-0001	268	2	12600	
3281	01-03-0001	773	3	27120	
3286	01-03-0002	22	1	1710	
3291	01-03-0002	522	2	25050	
3296	01-03-0002	678	3	29610	
3301	01-03-0006	139	1	8160	
3306	01-03-0006	307	2	13550	
3311	01-03-0006	374	3	14220	
3316	01-03-0009	178	1	16240	
3321	01-03-0009	210	2	17526	
3326	01-03-0009	373	3	26010	
3331	01-03-0012	151	1	6930	
3336	01-03-0012	329	2	18750	
3341	01-03-0012	351	3	18970	
3346	01-03-0013	355	1	12166	
3351	01-03-0013	588	2	18180	
3356	01-03-0013	648	3	18980	
3361	01-03-0014	37	1	1740	
3366	01-03-0014	361	2	11110	
3371	01-03-0014	969	3	27580	
3376	01-03-0016	742	1	24770	
3381	01-03-0016	865	2	28080	
3386	01-03-0016	895	3	28380	
3391	01-03-0017	110	1	1650	
3396	01-03-0017	308	2	6670	
3401	01-03-0017	403	3	10570	
3406	01-03-0018	113	1	7410	
3411	01-03-0018	576	2	20840	
3416	01-03-0018	619	3	24100	
3421	01-03-0019	80	1	2690	
3426	01-03-0019	362	2	13972	
3431	01-03-0019	489	3	16540	
3436	01-03-0024	540	1	15500	
3441	01-03-0024	597	2	19080	
3446	01-03-0024	696	3	20070	
3451	01-03-0026	301	1	11230	
3456	01-03-0026	636	2	21750	
3461	01-03-0026	814	3	25760	
3466	01-03-0027	34	1	690	
3471	01-03-0027	220	2	5150	
3476	01-03-0027	835	3	18084	
3481	01-03-0028	293	1	16740	
3486	01-03-0028	316	2	17490	
3491	01-03-0028	575	3	25310	
3496	01-03-0029	554	1	19490	
3501	01-03-0029	570	2	19650	
3506	01-03-0029	786	3	26270	
3511	01-03-0030	57	1	4140	
3516	01-03-0030	187	2	17840	
3521	01-03-0030	272	3	23540	
3526	01-03-0031	23	1	3114	
3531	01-03-0031	191	2	8030	
3536	01-03-0031	707	3	23250	
3541	01-03-0032	163	1	5660	
3546	01-03-0032	485	2	15290	
3551	01-03-0032	969	3	26230	
3556	01-03-0036	369	1	10959	
3561	01-03-0036	404	2	11309	
3566	01-03-0036	591	3	13179	
3571	01-03-0037	26	1	1840	
3576	01-03-0037	38	2	2360	
3581	01-03-0037	437	3	18170	
3586	01-03-0038	47	1	1174	
3591	01-03-0038	345	2	16570	
3596	01-03-0038	622	3	26997.05	
3601	01-03-0039	359	1	20140	
3606	01-03-0039	422	2	21180	
3611	01-03-0039	441	3	21486	
3616	01-03-0051	98	1	8738	
3621	01-03-0051	333	2	17360	
3626	01-03-0051	435	3	21460	
3631	01-03-0053	481	1	20860	
3636	01-03-0053	596	2	22530	
3641	01-03-0053	733	3	29150	
3646	01-03-0056	226	1	12900	
3651	01-03-0056	248	2	13850	
3656	01-03-0056	456	3	25740	
3661	01-03-0058	58	1	6342	
3666	01-03-0058	107	2	7790	
3671	01-03-0058	144	3	10800	
3676	01-03-0060	257	1	13440	
3681	01-03-0060	513	2	23050	
3686	01-03-0060	549	3	23410	
3691	01-03-0061	71	1	3110	
3696	01-03-0061	477	2	11800	
3701	01-03-0061	635	3	17380	
3706	01-03-0062	406	1	13750	
3711	01-03-0062	606	2	18030	
3716	01-03-0062	648	3	20280	
3721	01-03-0063	7	1	2940	
3726	01-03-0063	122	2	12750	
3731	01-03-0063	186	3	15250	
3736	01-03-0064	72	1	6160	
3741	01-03-0064	116	2	7460	
3746	01-03-0064	704	3	27850	
